ID,status,time,J,W,speed
10121,1,4/1/2018 7:42:58,121.816878,31.11821,0.0
10121,1,4/1/2018 7:43:08,121.816878,31.11821,0.0
10121,1,4/1/2018 7:43:18,121.81688,31.11821,0.0
10121,1,4/1/2018 7:43:38,121.81688,31.11821,0.0
10121,1,4/1/2018 7:43:48,121.81688,31.11821,0.0
10121,1,4/1/2018 7:43:58,121.81688,31.11821,0.0
10121,1,4/1/2018 7:44:08,121.81688,31.11821,0.0
10121,1,4/1/2018 7:44:18,121.81688,31.11821,0.0
10121,1,4/1/2018 7:44:38,121.81688,31.11821,0.0
10121,1,4/1/2018 7:44:48,121.81688,31.11821,0.0
10121,1,4/1/2018 7:44:58,121.81688,31.11821,0.0
10121,1,4/1/2018 7:45:08,121.81688,31.11821,0.0
10121,1,4/1/2018 7:45:18,121.81688,31.11821,0.0
10121,1,4/1/2018 7:45:38,121.81688,31.11821,0.0
10121,1,4/1/2018 7:45:48,121.81688,31.11821,0.0
10121,1,4/1/2018 7:45:58,121.81688,31.11821,0.0
10121,1,4/1/2018 7:46:08,121.81688,31.11821,0.0
10121,1,4/1/2018 7:46:18,121.81688,31.11821,0.0
10121,1,4/1/2018 7:46:38,121.81688,31.11821,0.0
10121,1,4/1/2018 7:46:48,121.81688,31.11821,0.0
10121,1,4/1/2018 7:46:58,121.81688,31.11821,0.0
10121,1,4/1/2018 7:47:08,121.81688,31.11821,0.0
10121,1,4/1/2018 7:47:18,121.81688,31.11821,0.0
10121,1,4/1/2018 7:47:38,121.81688,31.11821,0.0
10121,1,4/1/2018 7:47:48,121.81688,31.11821,0.0
10121,1,4/1/2018 7:47:58,121.81688,31.11821,0.0
10121,1,4/1/2018 7:48:08,121.81688,31.11821,0.0
10121,1,4/1/2018 7:48:18,121.81688,31.11821,0.0
10121,1,4/1/2018 7:48:38,121.81688,31.11821,0.0
10121,1,4/1/2018 7:48:48,121.81688,31.11821,0.0
10121,1,4/1/2018 7:48:58,121.81688,31.11821,0.0
10121,1,4/1/2018 7:49:08,121.81688,31.11821,0.0
10121,1,4/1/2018 7:49:18,121.81688,31.11821,0.0
10121,1,4/1/2018 7:49:38,121.81688,31.11821,0.0
10121,1,4/1/2018 7:49:48,121.81688,31.11821,0.0
10121,1,4/1/2018 7:49:58,121.81688,31.11821,0.0
10121,1,4/1/2018 7:50:08,121.81688,31.11821,0.0
10121,1,4/1/2018 7:50:18,121.81688,31.11821,0.0
10121,1,4/1/2018 7:50:38,121.81688,31.11821,0.0
10121,1,4/1/2018 7:50:48,121.81688,31.11821,0.0
10121,1,4/1/2018 7:50:58,121.81688,31.11821,0.0
10121,1,4/1/2018 7:51:08,121.81688,31.11821,0.0
10121,1,4/1/2018 7:51:18,121.81688,31.11821,0.0
10121,1,4/1/2018 7:51:38,121.81688,31.11821,0.0
10121,1,4/1/2018 7:51:48,121.81688,31.11821,0.0
10121,1,4/1/2018 7:51:58,121.81688,31.11821,0.0
10121,1,4/1/2018 7:52:08,121.81688,31.11821,0.0
10121,1,4/1/2018 7:52:18,121.81688,31.11821,0.0
10121,1,4/1/2018 7:52:38,121.81688,31.11821,0.0
10121,1,4/1/2018 7:52:48,121.81688,31.11821,0.0
10121,1,4/1/2018 7:52:58,121.81688,31.11821,0.0
10121,1,4/1/2018 7:53:08,121.81688,31.11821,0.0
10121,1,4/1/2018 7:53:18,121.81688,31.11821,0.0
10121,1,4/1/2018 7:53:38,121.81688,31.11821,0.0
10121,1,4/1/2018 7:53:48,121.81688,31.11821,0.0
10121,1,4/1/2018 7:53:58,121.81688,31.11821,0.0
10121,1,4/1/2018 7:54:08,121.81688,31.11821,0.0
10121,1,4/1/2018 7:54:18,121.81688,31.11821,0.0
10121,1,4/1/2018 7:54:38,121.81688,31.11821,0.0
10121,1,4/1/2018 7:54:48,121.81688,31.11821,0.0
10121,1,4/1/2018 7:54:59,121.81688,31.11821,0.0
10121,1,4/1/2018 7:55:09,121.81688,31.11821,0.0
10121,1,4/1/2018 7:55:19,121.81688,31.11821,0.0
10121,1,4/1/2018 7:55:39,121.81688,31.11821,0.0
10121,1,4/1/2018 7:55:49,121.81688,31.11821,0.0
10121,1,4/1/2018 7:55:59,121.81688,31.11821,0.0
10121,1,4/1/2018 7:56:09,121.81688,31.11821,0.0
10121,1,4/1/2018 7:56:19,121.81688,31.11821,0.0
10121,1,4/1/2018 7:56:39,121.81688,31.11821,0.0
10121,1,4/1/2018 7:56:49,121.81688,31.11821,0.0
10121,1,4/1/2018 7:56:59,121.81688,31.11821,0.0
10121,1,4/1/2018 7:57:09,121.81688,31.11821,0.0
10121,1,4/1/2018 7:57:19,121.81688,31.11821,0.0
10121,1,4/1/2018 7:57:39,121.81688,31.11821,0.0
10121,1,4/1/2018 7:57:49,121.81688,31.11821,0.0
10121,1,4/1/2018 7:57:59,121.81688,31.11821,0.0
10121,1,4/1/2018 7:58:09,121.81688,31.11821,0.0
10121,1,4/1/2018 7:58:19,121.81688,31.11821,0.0
10121,1,4/1/2018 7:58:39,121.81688,31.11821,0.0
10121,1,4/1/2018 7:58:49,121.81688,31.11821,0.0
10121,1,4/1/2018 7:58:59,121.81688,31.11821,0.0
10121,1,4/1/2018 7:59:09,121.81688,31.11821,0.0
10121,1,4/1/2018 7:59:19,121.81688,31.118208000000006,0.0
10121,1,4/1/2018 7:59:39,121.81688,31.118208000000006,0.0
10121,1,4/1/2018 7:59:49,121.81688,31.118208000000006,0.0
10121,1,4/1/2018 7:59:59,121.81688,31.118208000000006,0.0
10121,1,4/1/2018 8:00:09,121.81688,31.118208000000006,0.0
10121,1,4/1/2018 8:00:19,121.81688,31.118208000000006,0.0
10121,1,4/1/2018 8:00:40,121.81688,31.118208000000006,0.0
10121,1,4/1/2018 8:00:50,121.81688,31.118208000000006,0.0
10121,1,4/1/2018 8:01:00,121.81688,31.118208000000006,0.0
10121,1,4/1/2018 8:01:10,121.81688,31.118208000000006,0.0
10121,1,4/1/2018 8:01:20,121.81688,31.118208000000006,0.0
10121,1,4/1/2018 8:01:40,121.81688,31.118208000000006,0.0
10121,1,4/1/2018 8:01:50,121.81688,31.118208000000006,0.0
10121,1,4/1/2018 8:02:00,121.81688,31.118208000000006,0.0
10121,1,4/1/2018 8:02:10,121.81688,31.118208000000006,0.0
10121,1,4/1/2018 8:02:20,121.81688,31.118208000000006,0.0
10121,1,4/1/2018 8:02:39,121.81688,31.118208000000006,0.0
10121,1,4/1/2018 8:02:50,121.81688,31.118208000000006,0.0
